epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.4399,2.95432,5.66994,2.13239,0.00159,0.42857,0.00146,0.00046,2.80002,5.42046,1.81637,0.00034,0.00034,0.00034
2,43.6441,2.54963,4.27933,1.64211,0.00175,0.47253,0.0171,0.00244,2.75993,5.66646,1.74878,0.00069307,0.00069307,0.00069307
3,65.8261,2.47936,3.70682,1.62868,0.11308,0.05495,0.04559,0.01513,2.73263,5.28581,1.91859,0.00103901,0.00103901,0.00103901
4,85.9381,2.48082,3.30724,1.62097,0.00126,0.34066,0.00155,0.00034,2.85641,5.91116,1.79429,0.00137783,0.00137783,0.00137783
5,104.945,2.392,3.01579,1.65003,0.00049,0.13187,0.00053,0.00016,3.79222,5.55879,3.08597,0.00170951,0.00170951,0.00170951
6,122.663,2.39329,2.76745,1.63592,0.02929,0.04396,0.00894,0.00177,2.81824,4.68907,1.87803,0.001901,0.001901,0.001901
7,140.415,2.37937,2.59228,1.62752,0.09393,0.01099,0.00333,0.00148,2.92123,5.76081,2.26609,0.0018812,0.0018812,0.0018812
8,157.405,2.35452,2.48164,1.63407,0.01433,0.10989,0.00628,0.00205,2.83262,10.0681,2.02125,0.0018614,0.0018614,0.0018614
9,175.182,2.31235,2.35678,1.59712,0.36946,0.26374,0.22259,0.07165,2.44,3.14422,1.73935,0.0018416,0.0018416,0.0018416
10,192.393,2.23759,2.19201,1.55047,0.1906,0.18681,0.10544,0.03354,2.32607,3.22509,1.72376,0.0018218,0.0018218,0.0018218
11,211.236,2.29231,2.19447,1.59301,0.18764,0.2967,0.12661,0.03885,2.5375,2.64116,1.75349,0.001802,0.001802,0.001802
12,228.511,2.26544,2.18235,1.53818,0.42102,0.31868,0.31153,0.10593,2.38359,2.30247,1.70644,0.0017822,0.0017822,0.0017822
13,245.912,2.16073,2.08015,1.52201,0.46888,0.30078,0.32702,0.09262,2.39283,2.31423,1.61162,0.0017624,0.0017624,0.0017624
14,264.186,2.17506,2.01677,1.49964,0.37527,0.32967,0.28156,0.09682,2.37087,2.18142,1.67506,0.0017426,0.0017426,0.0017426
15,284.516,2.19182,2.01648,1.52525,0.33087,0.26374,0.23541,0.07437,2.36127,3.41581,1.72947,0.0017228,0.0017228,0.0017228
16,302.882,2.08484,1.89104,1.46011,0.26064,0.30769,0.21871,0.06572,2.37513,2.38511,1.81182,0.001703,0.001703,0.001703
17,320.659,2.09419,1.86956,1.48233,0.60376,0.24176,0.3086,0.11197,2.2658,2.16115,1.67132,0.0016832,0.0016832,0.0016832
18,337.432,2.12265,1.89508,1.48542,0.23168,0.27473,0.1428,0.04804,2.41521,2.6474,1.81047,0.0016634,0.0016634,0.0016634
19,356.084,2.07424,1.80736,1.45634,0.38228,0.34066,0.28982,0.08821,2.58809,2.19448,1.90886,0.0016436,0.0016436,0.0016436
20,372.332,2.09189,1.79156,1.46693,0.35396,0.3733,0.28536,0.09109,2.35349,2.11691,1.62018,0.0016238,0.0016238,0.0016238
21,389.361,2.11329,1.86449,1.47923,0.40111,0.37363,0.25516,0.09094,2.35194,2.06597,1.55008,0.001604,0.001604,0.001604
22,406.796,2.05452,1.76377,1.45751,0.41239,0.2967,0.29245,0.10632,2.2403,2.10414,1.66141,0.0015842,0.0015842,0.0015842
23,423.946,1.95665,1.72693,1.41434,0.47351,0.41512,0.35526,0.13167,2.27906,1.98597,1.69887,0.0015644,0.0015644,0.0015644
24,440.623,2.02042,1.69263,1.3992,0.68739,0.38665,0.45095,0.15673,2.1714,1.91364,1.66181,0.0015446,0.0015446,0.0015446
25,459.136,1.97393,1.70771,1.42699,0.49376,0.3956,0.3927,0.15059,2.133,2.03113,1.58466,0.0015248,0.0015248,0.0015248
26,481.105,1.94418,1.66558,1.39037,0.4141,0.3956,0.35678,0.14904,2.04889,1.89612,1.49496,0.001505,0.001505,0.001505
27,496.931,2.02267,1.71817,1.41621,0.44298,0.35165,0.32056,0.1204,2.15096,2.01238,1.53332,0.0014852,0.0014852,0.0014852
28,513.83,1.92833,1.65259,1.37404,0.5066,0.37363,0.35713,0.14731,2.13857,1.99384,1.54956,0.0014654,0.0014654,0.0014654
29,531.752,1.86483,1.58437,1.34115,0.55776,0.36264,0.40112,0.17154,2.16545,1.8268,1.6315,0.0014456,0.0014456,0.0014456
